User Name,Review,Rating
markvanwasbeek,"By now you know what to expect from a John Wick movie. I thought the franchise was losing a little momentum in chapter 3 so I was worried this could be disappointing. It's not. It's even more on steroids than any Wick before! Even close to 3 hours it doesn't feel to long which is very special for a action movie. This franchise has set new standards. If anybody says a movie is good like John Wick, it better f'n be! The set pieces as everyone mentioned before are really insane this time. The Tokyo sceney with illuminated cherry blossoms was beautiful. The only super illogical thing that bothered me was that nobody flinched at the nightclub, eventually they did but after a whole 10 minute beatdown through the whole club, but then again it's a shady nightclub for high table people. If you liked the first three movies, get your ass to the cinema. Yeah.",9
kskmah,"Who needs a 2hr and 40 min action movie? No one. Yes the action was good, but repeats so many times that it becomes so boring. How can hundreds of assassins not kill one man? Answer, not possible, only in this movie and series. How many times could the dog man have killed Wick? Many. So no other assassin could? Why would the table head get Caine to kill Wick when he knows he won't. You can challenge the head to a duel as a rule, but they only assigned a head for the first time ever in this movie? WTF? And then the head can select a replacement? And he selects a blind man. All Wick had to do was to stand on the side or drop down and he wouldn't get shot. I think everyone knew Wick didn't shoot in the last round, except for the stupid head bad guy. This is not an action movie, it's a fantasy.",1
IMDbKeepsDeletingMyReviews,"In this fourth installment of 8711's successful franchise, Keanu Reeves wearily drags himself from setpiece to setpiece, saying little, surviving the most ridiculous setups and finally achieves nothing.

The acting and writing of JOHN WICK: CHAPTER 4 are indeed the worst aspects of this film, and the exaggerated runtime of almost three hours doesn't help.

Try to remember John Wick's motivation to do all the things he does. What exactly is he actually doing, escpecially in this one? In addition to a lack of motivation, Chapter 4 is a remarkable retcon in the sense that John Wick could have ended the hunt for his person way earlier, thus making at least the last two installments redundant.

There's plenty of action here, sure, but it has been getting more and more unrealistic, and so you'll be in a situation where your suspension of disbelief says bye-bye, especially when you contrast the growing ridiculousness of the action with John Wick's decreasing vigour.

The plot has some toddler level plot holes and contrivances which are really distracting, yes, even in an action no-brainer like this. Keanu Reeves has maybe ten lines of dialogue in the whole movie. The Marquis is a nonsense character, just like Donnie Yen's Caine character. They just appear, but especially in Caine's case you're supposed to be emotional about it because he's basically John Wick's brother from another mother. We just never knew about him. Oh well.

This is the definition of a dumb movie for dumb people, and if you just want to enjoy some nice shots and over-the-top action (some of which is really nice) AND love Keanu Reeves, this is your jam. If you need a bare minimum of consistency and structure, you might feel cheated.",5
rupali-38827,"No idea how the ratings are as high as they are. If you thought the first one was enjoyable but the 3rd one was bull, read on.

Just as the body count in the 3rd was ridiculous, this is even more absurd. Seems after coming up with the bullet proof suit the writers etc thought it a good idea to make sure everyone has one. These giant men sent to kill Wick all wearing suits, raising the jacket to protect their heads was a sight I found so funny. He's the best hitman on the world, how do we kill him? I know, we'll send a blind man!! Pathetic. And he can dodge bullets and he knows where everyone is. You could say it looked choreographed.

Now, about the DJ! They may have well cut the scenes directly from the Warriors. Better film, done better and that isn't a great film. For those of you who have never heard of the Warriors, go watch it. For those of you that have, skip this nonsense.",4
cadillac20,"Ever since the original John Wick, the franchise has set a standard of what action in Hollywood should be. Thanks to Chad Stahelski and Keanu Reeve's knowledge of the technical aspects of shooting action, they've been able to deliver expertly choreographed, shot, and edited action films that are now the go to as examples of great action filmmaking. And so, the expectations for the fourth film were fairly high, especially as it became more apparent this was not only the culmination of everything before it, but a whopping 169 minutes long. Rest assured, however, that it delivers in spades. Everything we have come to know and love is here, but with an infusion of creativity like we haven't seen from the franchise yet.

John Wick is in a bad way as we open up. He's a man on a mission to get out from under the High Table with seemingly no end in sight. As he blazes a trail of bullets and corpses, those who have helped him or crossed his path find their own lives disrupted. With all hope lost, he soon finds the opportunity he's looking for when he discovers that he can put his life on the line for a chance to finally get out. The film brings with it a whole host of new characters, including Donnie Yen's Caine, Shamier Anderson's Tracker, Hiroyuki Senada's Shimazu, Rina Sawayama's (in a fantastic big screen debut) Akira, Scott Adkins' Killa, and of course Bill Skarsgard as new villain Marquis. It's a full cast, but everyone gets a chance to shine and could easily have their own films. Donnie Yen in particular demonstrates, once again, that he is a legend in this industry with several great fights of his own. But, of course, this is Keanu's film all the way and he gets to bring everything with him in the biggest film yet.

Covering four continents, we get fights on a massive set of stairs, fights in the middle of traffic, at one of the coolest looking hotels ever shown on screen, and so on. The fighting, of course, is exceptional, and it brings nunchakus, dogs, throwing stars, swords, guns, and so much more. It's everything a John Wick fan could want and, because these films are so technically proficient, you never feel like you're missing any of the action. Possibly the most creative choice is my favorite scene, one that combines a visually fantastic weapon with a shot choice that is unusual for action films of this nature, but the combination of these two pushes the scene into maybe one of action film's greatest scenes.

Admittedly, the story does leave a bit to be desired, but the minor complaints about these kinds of things pale in comparison to what we get. Hollywood has a new film to hold itself to and I have a feeling that (at least for me) action filmmaking will be judged by the standard this movie sets. It's such a blast, I already want to see it again.",10
tresm87,"Stuntman turned writer/director Chad Stahelski struck gold with his 2014 surprise hit John Wick. It was somewhat of a comeback for the legendary Keanu Reeves and reinvigorated the action genre. Since then it's become THE action juggernaut franchise. Now we are on number 4 and while usually things get redone with that amount of sequels, this film innovates and thrills to new heights in an absolute epic.

One of the most surprising aspects of this particular entry, is the story being written as well as it is. Something that is hard to come by in the genre at times. Not saying the others in the franchise weren't but this is easily the best story diving deeper in the high table aspects as well as John Wick's true emotions . The rich characterization is also at its best with outstanding additions like Skaarsgard, and even more screen time for supporting greats like Fishburne to compliment the magnificent Reeves. RIP Lance Reddick. It's nice to have such substance amongst the endless high octane ballistic visuals.

Speaking of ballistic, this movie goes more all out than any I've seen for insanely well crafted choreographed shootout and fight scenes. Just when you thought you've seen it all, Stahelski/Reeves prove their action minds are ever evolving. These guys were born to make action movies together.

The extremely vibrant colors and plethora of locations is also a feast for the eyes. The sharp atmospheric imagery creates the ultimate backdrop for not only the action but also just the dialogue. The sound is also top notch and perfectly compliments the intensity. It's just an absolute sensory journey that you don't get in too many action films aside from the Wick genre.

Overall the limitless and outrageous action alone is nothing like we've seen before for the genre or just cinema in general . But also this rich unique story may only build Wick's timeless character for more films in the future which at this momentum will be welcomed.",9
MovieIQTest,"From the very beginning to the end, nothing but endless kills, fighting, close combats, bloods squirts or splashes, KR after four chapters, he looked older, slower and tiresome. The screenplay was so pretentious and pointless, the dialog looked forced and boring, katana swords vs. Bullets, and almost every bullet could be fenced off by the katana sword blades. The scenarios and the plots just kept stacked up without any reason or clue, just kill, kill, kill...nothing but kills. All the fighting sequences just like Shaw Brothers' 1970s poor and laughable Hong Kong martial art movies, heavily choreographically staged, looked so forced and fake. Every kill was not killed with one bullets but many, yet the handguns seemed equipped with endless bullets, bang, bang, bang, even the fallen guys already dead, but still needed to be shot several times more to increase the violent sound effect. I don't know what's the purpose of making these 4th Chapter, and I think the 1st Chapter only needed a following 2nd Chapter to end it, but what the heck, brainless young viewers need bloody fights, more dead bodies, ridiculous screenplay with clueless storyline, no real plots or real story really needed, just created something like violent video games.

When John Wick fought for his life in the Japanese hotel against so many clueless foes and the Zatoishi-like blind swordsman played by Donny Yen with a Botox injected face, we all decided to quit at the same time.

Hey, it's time to wrap it up, guys, no sense to continue to Chapter 5!",N/A
IWasKnownAsThe1SentenceReviewer,"I thought I remembered a less caricatural Keanu Reeves (""Yeaaah..."", ""I'll stay..."") and a more Nobody (2021)-like franchise but JW:C4 really felt like a bad ""kingsman"" mixed with an equally lousy Hotel Artemis (2018).

And why the sempiternal cliché of the Black supporting character, playing the janitor what's more, and being the first ""good guy"" to die for absolutely no reason?

Ok, let's review the clichés, then:
Story? So cliché...
Cultural misrepresentation? Soo cliché...
Characters? Sooo cliché...",1
Phil_H,"John Wick: Chapter 4 is almost three hours of Keanu Reeves engaged in a gunfight, bookended with meaningless dialog-in-place-of-plot, and a lot of people being thrown down stairs. Of all the ""Wick"" movies, this is clearly the weakest one yet. Was anything added to the overall Wick-universe narrative? No. Did we see a whole lot of inconsequential people die? Yes. Did Keanu Reeves say ""yeah"" a lot? Yes.

Look, I was hoping for SO much more than this. A meaningful ending to the series (which it isn't, because apparently this made so much money they are working on a fifth film), but what we got here was something in very much need of more script doctoring and less ""bang-bang.""

With a little more work, this could have been an average movie. Don't talk to me about stunts or cinematography or the choreography of the actors in-play, wow me with a plot that makes sense and moves the story forward--John Wick 4 does not move the story forward. It just says ""let's shoot a bunch of people, okay?"" And that's what it does... for 3 hours.

In the end I was of the following opinion once the credits rolled: ...and?...

We all deserved better than this. John Wick did, too.",4
tkdlifemagazine,"John Wick: Chapter 4 picks up where Chapter 3: Parabellum left off. As has been the tradition in the sequels to this beloved martial arts action franchise the action starts from the very inception of the film's opening, and lasts until the curtain falls. JW4 is no exception to that rule. What it does do is improve on the prior installment, and solidify Keanu Reeves as the greatest martial arts action star of all time. If you don't accept that notion, then you must accept the fact that it solidifies Reeves and Director, Chad Stahelski, as the greatest martial arts action pairing of modern times.

The film opens in New York City, the home of the notorious Continental Hotel, and takes us to Osaka Japan, Paris France, and Berlin Germany. Each of those cities plays a major role in Reeves' quest to seek revenge against the High Table for the acts outlined in the prior films, and to seek his unconditional freedom from service to their order.

As the story unfolds we learn a bit more about Wick's past and upbringing than we did in the prior films, but not enough to get bogged down in. He uses his connections to his past, and the help of some old friends to find a path to level the playing field with the High Table's Emissary, The Marquis, played masterfully by Bill Skarsgård. Skarsgård makes the character memorable, and unique, with just a hint of Santino from the second installment.

Keanu Reeves as John Wick in John Wick 4. Photo Credit: Murray Close Hiroyuki Sanada and Reeves are reunited, having starred in 47 Ronin together. Sanada, as is always the case, is a strong presence in the film and makes the most of every scene he is in. He is a great addition to the film. The Osaka Continental fight scenes are groundbreaking, and among the best and most exciting in the entire series. This is some of the best fight and action choreography you will see; only topped by other scenes in this same movie.

Scott Adkins plays an unusually larger than life villain adeptly. The action and violence around the Berlin scenes involving his character, and his relationship to Reeves' past is fun to watch. Adkins is great to watch, whether starring in his own projects, or supporting, as he is here.

Shamier Anderson and Clancy Brown are new to the series and add great value. Anderson as a cunning assassin conflicted between admiration and greed. Clancy Brown is a strong presence and welcome replacement in the role of Adjudicator. I found Asia Kate Dillon's version of the same character to be the weakest part of the prior film, and, perhaps, of the whole series.

Mark Zaror, another great martial artist also has a prominent role as The Marquis' right hand man.

Ian McShane and Laurence Fishburne return and offer more than just familiarity to the cast. Their roles are significant and meaningful.

Donnie Yen brings not only his skills as one of the finest martial arts movie stars in the world, but lends his presence as a charismatic and riveting figure. He plays the role of Caine with complexity and humanity that is a terrific mirror to Reeves' Wick; his friend and adversary by circumstance. This was a fantastic choice to take the Wick series to a new level.

Keanu Reeves continues to be engaging, empathetic, and dynamic in the role of John Wick. While the series has strayed a bit from the deeply reluctant anti-hero of the first film; we continue to cheer for the good guy caught up in a bad, bad world. One of the great strengths of the film is that Reeves and Stahelski are not afraid the let characters other than Wick shine. In fact, all of the stars of this one have their deeply profound and memorable moments in and out of the company of the main character. This really works.

As for the fight and action choreography. The stunt team at 87eleven continue to elevate the game. The film has three major, larger than life action sequences, that each, individually, outdo anything you will see in any other non John Wick movie. As mentioned previously, the Osaka and Berlin scenes were high energy, high body count affairs. They were complete with gun fights, sword mastery, gun play, and one of the best nunchuck displays you will ever see outside of a Bruce Lee movie. As for the scenes in Paris, at the Arc De Tripomphe, and on the Church steps, they are unlikely to be forgotten and, unlikely, to be topped for years to come, if ever. They are unique and exciting and violent feasts for the eyes.

While I have heard some say that John Wick: Chapter 4 is the best installment in the series I have to disagree, Nothing can top the original, in my opinion; however, Chapter 4 is a worthy installment for sure.

Will there be a Chapter 5 to the JohnWick saga? Remember, I said this was a Spoiler free review....

John Wick: Chapter 4 earns a 5 out of 5 star rating. It is worth seeing, and probably seeing again. I predict a significant box office gross for this one, and it is well deserved.",9
bienkow78,So the second and 3rd john wick movies were blazing electric movies that took john wick to unbelievable levels. This 4th wick movie was water down and embaressingly woke with a corney addition to the wick roster of assasins. Kane somewhat saved the movie at times but the movie felt vague and amibiguous with endless fighting and wayy over the top action the that took wick to a level of absurdity and crossed over to ridiculous and clever or as cool as part 3. Thr crafty skills wernt on display in the same they were in the last 3 movie outside of one glorious overhead camera shot of wick blistering through a apartment building. This scene alone bumped this film up into the above average relm.,3
navendu_krishnan,"Unpopular Opinion - John Wick 4 is a below average movie.

I loved all 3 John wick movies, but this one is more likely a conclusion of John wick series, So the fight scenes are boring and repetitive. Previous movies had different types of action and stunt choreographies. This one has long same fights , might be in different locations.

As far Keanu goes, his close up shots or his face doesnt appear in the movie atleast for a half time. John wick past movies had few dialogues but it had an impact, 4 has same few dialogues but it was very plain and flat.

Ending is Spoiler - John Wick Dies (or not) shown in a way that if there is a possibility of a sequel , there can be.

May stunts shots and its accuracy is totally gone, we can clearly see that where the gun is aimed and it just went like a paper plane. Even with the so-called Coat Armour, some pistol shots were directly aimed at Head / Leg which was again repelled with the armor which is in the shoulder.

The sad thing is this is the same with Balayya movies, but when it directed and taken in Hollywood people go crazy!

An average movie 6/10.",6
doc1150,"I don't get why this movie has a high score, it doesn't deserve it. It's horrible, it doesn't make any sense, just killing people, but how can it be possible that those people after being shot many times, were able to fight as nothing happened to them? And the plot? Trying to kill John Wick in any way possible, period.

The worst thing is that they used some scenes from the movie The Warriors (1979), they didn't try to change anything, a black woman with nice big lips, talking on the radio, guiding the gangs with the purpose to chase and kill The Warriors. Same with John Wick, but of course with a modern technology. Shame on you! Didn't you have any better idea? You just copied an old movie that was much better than this one, and that soundtrack was great!

What a disappointment! It remembers somehow Kill Bill, but that movie was very good, this one is almost unacceptable!

I enjoyed the other movies about John Wick, they were very well done, and had a good plot. This time it seems like they didn't know what to write.

Not even the ending was good, is he really dead? We can't be sure, and probably there will be a John Wick 5, because something is missing. Anyway the fight against the thugs, before the last duel, was really bad... just a videogame.",4
drjgardner,"...all at the same time. This hybrid comic book-video game has a stupid plot, worse than average acting, and fight scenes that are so poorly done you don't mind going to the bathroom. Don't get me wrong. I loved John Wick 1. Thought #2 was OK. Then came #3., It showed they were out of imagination and should have stopped with #2. Now with #4 they show that they are not artists or creatives but merely clowns looking for as buck.

It's not completely without value, which is why it got a 2 instead of a 1. The photography is beautiful and they have a dog as a hero. The rest is worthless. Save the money and the time.",2
vengeance20,"Ok, so I got back from seeing this entry yesterday night. I'm writing this review in the early hours after midnight as the film went on for a good whopping 2 hours & 39 minutes!! But we'll get to that in a bit...! Anyway, I was looking forward to this film since John Wick 3's release back in 2019 & this film has had a bit of a troubled history of getting pushed back until it finally got its March 2023 release. I must admit I was a bit skeptical, but, was looking forward to this as the John Wick films are ace, but this film was a bitter disappointment...!

The film sees John Wick, who from the events of the last film, has a price on his head which is increasing more than ever. The lethal unstoppable force of nature assassin now must fight against the High Table Global as he seeks out & fights the most deadly assassins players of the underworld from Paris to New York to Berlin to Japan. Will John Wick finally meet his match!?

Whoa...! Where do I start!? I found the film for starters to be too long!! At a whopping 2 hours & 39 minutes this film is way, way, way too long! The pacing... whoa! Don't get me started! I was willing to be tolerant & forgive the pacing, but when it got to the final leg it took the absolute puss & started to test my nerves! The story is so weak I had to look this film up in order to get what the plot was, again, another sign that the film was going to be bad, the first was the runtime, which I knew was going to be bad from the word go!

The film took a while to get going which was a pain, but it got there I guess! The fights were good, as with the John Wick films typically are, not to mention funny & brutal! But all things considered, it got repetitive fast & annoying especially near the end as I just mentioned! The story scenes were alright as with the villains & bad guys though again, it got repetitive & irritating.

The realism was stretch beyond its limits here in this film. John Wick fell from a great height on a metal pipe which looked to have (& lets be honest here) would've snapped his back like a tooth pick! John got hit by a car 5 times yet never suffers any bad injuries or dies! Yet a few bullet wounds finally kill him at the end (another downer of this film which I'll touch up on in a second!), the fight scenes in the night club where only a few people stood there shocked while about 95% just kept on dancing! Face palm! There were several other scenes which made you just think ""dafuq!?""

The lead up to the end was annoying! Just when you thought John Wick was going to go to the Stand Off with the blind villain, there was more fight scenes! Don't get me wrong, these fights where good, but annoying & held the film up for a good 20 minutes before the finale which to say the least, was anti climatic! The scene on the 122 steps was irritating & made you just scoffs in frustration when John got kicked down those steps which for a couple of seconds in its self, dragged & felt & looked comical! It's like getting so far in a mission in Grand Theft Auto V then dying & reverting back to the latest checkpoint where you have to start all, over, again!! The same feelings of that (from experience) where felt for me in this film from that scene!

Then of course, after John Wick killing 180 odd people (or more, I lost count obviously) he finally dies! What!? Like James Bond in that god awful Bond Film of 2021 No Time To Die!? Can't be!? What a poor show! Anyhow, to give you guys some perspective on how long this is in comparison to the rest of the films in the franchise! Without credits as they don't count!

John Wick (2015) - 1 hour 30 minutes John Wick 2 (2017) - 1 hour 50 minutes John Wick 3 (2019) - 1 hours 57 minutes John Wick 4 (2023) - 2 hours 39 minutes

Notice how the films got long & long with each entry...!

Overall, this ranks as they absolute worst of the franchise! I was willing to forgive the poor pacing & overly bloated runtime, but it got on my nerves too much to bare & when I saw that John Wick died!? Nope, that was it for me! The editing was poor with this film whoever edited this needs class in editing as this was bad beyond belief! The pacing also was poor combined with the bad editing! The fights were good, but too drawn out, long & annoyingly repetitive! The ending was both bad & anti climatic! How this film has 95% on RT is beyond me! But then what do I expect...! This ranks as the worst John Wick film in the franchise! With word of a female spin-off coming out (which will be bad), I've lost hope in this franchise! Let's hope John Wick 5 (if ever) redeems this kak entry!

4/10 & that's generous considering!",4
furnacefuneral,"Indiana jones, terminator, predator, Jurassic park, the matrix, Jason bourne, etc. All amazing franchises but all share a common trait of having a bad or forgettable movie or 2 at some point. This is why john wick is the best action action movie franchise of all time; The movies just keep getting better and better. In john wick 4, when the action starts in Osaka Japan, it never let's up despite it's almost 3 hour running time. What I really enjoyed the most about JW4 is the cast of characters. Great villains and allies really keep this movie interesting as john trots the globe for 3 hours. The sound engineering, editing, direction, cinematography are excellent as always. The color schemes throughout this franchise (more john wick 2, 3 and especially 4) are such a treat for the eyeballs. Best action franchise EVER. And the shotgun fight in Paris with the ""dragons breath"" is the best action sequence I've probably ever seen in my life.",10
UniqueParticle,"May or may not count as a spoiler but John Wick pilled up more of a body count than Jason Vorhees sure different genre yet both great killing machines! Chad Staleski created such a great action extravaganza quad of films and one of my favorite trivia's he was the stunt doable for Keanu Reeves in the The Matrix back in the day; fast forward to 2014 they work together on one of the greatest action films of our generation. John Wick 4 is ultimate experience that is a must see I can't praise enough for how much fun it is.

I might get vibes for my thoughts I tried not to spoil it's obvious the combination of kill count has added up the rest left to the viewers, the action and writing is incredible for Chapter 4 that everyone involved deserves praise! I'd like to say too I own all the John Wick films and every Matrix, I'll get this in 4K when available.",10
